Author,Date,Tweet
GEanalyst,Wed May 03 05:52:42 +0000 2017,"RT @Oneindia: #India suffers $ 21 billion black money outflow, reveals @GFI_Tweets 
https://t.co/vh4MsQtPft"
BrokerageRecos,Wed May 03 06:05:09 +0000 2017,Hold Axis Bank; target of Rs 540: Arihant Capital https://t.co/eFGlpl1s1Q #stocks #tip #India
LifeandTrendz,Wed May 03 06:05:10 +0000 2017,#India #telecom #subscriber growing strong https://t.co/icreBP0ADV @stpiindia #Trai @rsprasad #RelianceJio #BhartiAirtel #TelenorIndia @TRAI
Mass_Maharaja,Wed May 03 05:53:27 +0000 2017,"RT @KamalismForever: @ikamalhaasan pride of nation ! #India 

#Vishwaroopam2 / #Vishwaroop2 FirstLook https://t.co/rgwDvho5i5"
AadityaSiltu,Wed May 03 09:40:25 +0000 2017,"RT @IndiaKeepVoting: Do you think @narendramodi is the weakest PM #india has ever got?

#ModiWeakestPMever
#Modi"
himanshu0070070,Wed May 03 09:41:51 +0000 2017,RT @lal_1404: #satyagrah4men #national #holiday in #India @EYnews @TCS @Infosys @Cognizant @SirJadeja @IPL @TechMahindraOrg… 
Rajezveera,Wed May 03 05:53:01 +0000 2017,"RT @rameshlaus: (ESTIMATES) #Baahubali2 5 Days WW BO:

#India 

Nett - ₹ 440 Crs

Gross - ₹ 565 Crs

Overseas - ₹ 145 Crs

Total -… "
9arlos9,Wed May 03 05:52:25 +0000 2017,"RT @ETInfotechNews: .@Apple’s revenue grew more than 20% in #India in the quarter ended March, 2017 
https://t.co/ASAUrDV5K7"
Indian_Biz,Wed May 03 05:52:57 +0000 2017,Narendra Modi has put fear of god in tax defaulters. Here’s proof https://t.co/wwP55ymd9e #india #indiabiz
WFNhindi,Wed May 03 09:39:03 +0000 2017,"जल प्रबंधन के मुद्दे पर भारत और अफगानिस्तान के साथ काम करेगा पाकिस्तान
#India #Afganistan #Pakistan https://t.co/FeFxxSOKHu"
trendinalios,Wed May 03 09:39:37 +0000 2017,RT @airnewsalerts: #India and #Japan enter the tunnel on level terms.The 2nd half in #INDvJPN is underway. https://t.co/Lw74N7NZiN
bollywoodnews98,Wed May 03 09:39:23 +0000 2017,"#india Debt main cause for over 12,000 farmers to suicide since 2013 https://t.co/wDO1jQVcwM https://t.co/pITpHZgYRF"
IBNMoney_com,Wed May 03 09:40:05 +0000 2017,No place for discrimination in world: India’s envoy to UK https://t.co/X33CbIcJhw #News (via @IBNMoney_com #India)
destroy_time,Wed May 03 05:51:59 +0000 2017,"RT @PixelProject: #INDIA: For women facing sexual abuse &amp; domestic violence, call 8793088814 /15 /16 (This is a 24/7 helpline) #VAW"
ozmustang65,Wed May 03 05:52:18 +0000 2017,"@BPbrewing:my fav #beer.Kolsch style,w/fav red https://t.co/UMX6ZArWeW an unusual #India'1,made w/cumin,cayenne,cur… https://t.co/3GMopk7Wx7"
kartkiwi,Wed May 03 09:39:28 +0000 2017,"We have launched new Crop Tops for #women! Check out our collection, get free shipping &amp; COD across #India-… https://t.co/HWUsyexmaN"
ImArpit28,Wed May 03 09:39:47 +0000 2017,"RT @kartkiwi: We have launched new Crop Tops for #women! Check out our collection, get free shipping &amp; COD across #India-… "
mosesharding,Wed May 03 09:40:14 +0000 2017,"Even if US 10Y yield spike to 2.65%, spread adjustment from 4.65-4.70% to 4.30-4.35% make #India 10Y good for hold at 6.95-7%; no worry now!"
too_lazyy,Wed May 03 09:41:25 +0000 2017,"@mandeepsingh995 steers #India to victory. Jap 3 Ind 4.
If other results go in our favor we could reach the final of #SultanAzlanShahCup"
